,index,Postal Code,Borough,Neighbourhood,Latitude,Longitude
0,0,M5H,Downtown Toronto," Adelaide,Richmond",43.65057120000001,-79.3845675
1,5,M3H,North York,"Bathurst Manor,Downsview North ,Wilson Heights",43.7543283,-79.4422593
2,6,M5V,Downtown Toronto,"Bathurst Quay ,CN Tower ,Harbourfront West ,Island airport ,King and Spadina ,Railway Lands ,South Niagara",43.6289467,-79.3944199
3,7,M2K,North York,Bayview Village,43.7869473,-79.385975
4,9,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
5,10,M1N,Scarborough,"Birch Cliff,Cliffside West",43.692657000000004,-79.2648481
6,11,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999
7,12,M4J,East York,"Broadview North,East Toronto",43.685347,-79.3381065
8,13,M6K,West Toronto,"Brockton,Exhibition Place,Parkdale Village",43.6368472,-79.42819140000002
9,16,M6E,York,Caledonia Fairbanks,43.6890256,-79.453512
10,18,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999
11,19,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
12,21,M6G,Downtown Toronto,Christie,43.669542,-79.4225637
13,22,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
14,23,M1L,Scarborough,"Clairlea,Golden Mile ,Oakridge ",43.711111700000004,-79.2845772
15,26,M9B,Etobicoke,"Cloverdale,Martin Grove,Princess Gardens,West Deane Park",43.6509432,-79.55472440000001
16,27,M5L,Downtown Toronto,"Commerce Court,Victoria Hotel",43.6481985,-79.37981690000001
17,28,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
18,30,M4V,Central Toronto,"Deer Park ,Summerhill West ",43.68641229999999,-79.4000493
19,32,M5K,Downtown Toronto,"Design Exchange,Toronto Dominion Centre ",43.6471768,-79.38157640000001
20,33,M3B,North York,Don Mills,43.745905799999996,-79.352188
21,35,M6H,West Toronto,"Dovercourt Village,Dufferin",43.66900510000001,-79.4422593
22,37,M3K,North York,Downsview,43.737473200000004,-79.46476329999999
23,38,M1K,Scarborough,"East Birchmount Park,Kennedy Park",43.7279292,-79.26202940000002
24,60,M1K,Scarborough,Ionview,43.7279292,-79.26202940000002
25,39,M9M,North York,"Emery,Humberlea",43.7247659,-79.53224240000002
26,40,M2J,North York,"Fairview,Henry Farm,Oriole",43.7785175,-79.3465557
27,42,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.41130720000001
28,45,M5B,Downtown Toronto,"Garden District,Ryerson",43.6571618,-79.37893709999999
29,46,M6B,North York,Glencairn,43.709577,-79.44507259999999
30,47,M1E,Scarborough,"Guildwood,Morningside,West Hill ",43.7635726,-79.1887115
31,49,M5J,Downtown Toronto,"Harbourfront East,Toronto Islands,Union Station",43.6408157,-79.38175229999999
